Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-02-05,P,P,P,P,CL,P,P,P,P,P,ATT,P,CL,P,P,P,P,CL,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-06,P,P,P,P,CL,P,P,P,P,P,ATT,P,CL,P,P,CL,P,CL,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-07,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-02-08,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-02-09,P,P,P,P,CL,P,P,P,P,CL,ATT,P,CL,P,P,CL,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-10,P,P,P,P,P,P,P,P,CL,P,ATT,P,CL,P,P,CL,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-11,P,P,P,P,P,P,P,P,P,P,ATT,P,CL,P,P,CL,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-02-12,P,P,P,P,P,P,P,P,P,P,ATT,P,CL,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA
2015-02-13,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA
2015-02-14,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA
2015-02-15,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA
2015-02-16,P,CL,P,P,P,P,P,P,CL,P,ATT,P,P,P,P,CL,P,P,CL,P,P,P,CL,P,CL,P,P,P,CL,P,P,P,P,P,P,P,NA,NA,NA
2015-02-17,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,NA,NA,NA
2015-02-18,P,P,P,P,P,P,P,P,P,P,ATT,P,P,CL,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA
2015-02-19,P,P,P,P,P,P,P,P,P,P,ATT,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA
2015-02-20,P,P,P,P,P,P,P,P,P,P,ATT,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,CL,P,P,P,P,P,P,NA,NA
2015-02-21,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-02-22,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-02-23,P,P,P,CL,P,P,P,P,P,CL,ATT,P,P,CL,CL,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,CL,CL,P,P,CL,P,P,P,NA,NA
2015-02-24,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,CL,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA
2015-02-25,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,CL,P,P,CL,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,NA,NA
2015-02-26,P,P,P,P,CL,P,P,P,P,P,ATT,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-02-27,P,P,CL,P,P,P,P,P,P,P,ATT,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-02-28,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-03-02,P,P,P,P,P,P,P,P,P,P,ATT,P,P,P,P,P,P,P,UL,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-03,PL,P,P,P,UL,P,P,P,P,UL,ATT,P,P,ATT,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-04,P,P,P,P,UL,P,P,CL,P,P,ATT,P,P,ATT,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-05,P,P,P,P,P,P,ATT,CL,P,P,ATT,P,P,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-06,HOL,HOL,HOL,HOL,HOL,HOL,ATT,HOL,HOL,HOL,ATT,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,NA,NA
2015-03-07,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-03-08,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-03-09,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-10,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,NA
2015-03-11,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-12,P,P,P,P,P,P,ATT,P,P,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
