Date,Employee ID,Status,Relaxation,Entered By,Comment,Approval,Rejection Comment
2015-01-12,73343,Working,0,Big Brother,\N,\N,\N
2015-01-12,73858,Working,0,Big Brother,\N,\N,\N
2015-01-12,61949,Working,0,Big Brother,\N,\N,\N
2015-01-12,73957,Working,0,Big Brother,\N,\N,\N
2015-01-12,74565,Working,0,Big Brother,\N,\N,\N
2015-01-12,74839,Working,0,Big Brother,\N,\N,\N
2015-01-12,75027,Working,0,Big Brother,\N,\N,\N
2015-01-12,75028,Working,0,Big Brother,\N,\N,\N
2015-01-12,75026,Working,0,Big Brother,\N,\N,\N
2015-01-12,76751,Working,0,Big Brother,\N,\N,\N
2015-01-12,76932,Working,0,Big Brother,\N,\N,\N
2015-01-12,76750,Working,0,Big Brother,\N,\N,\N
2015-01-12,62182,Working,0,Big Brother,\N,\N,\N
2015-01-12,62509,Working,0,Big Brother,\N,\N,\N
2015-01-12,62487,Working,0,Big Brother,\N,\N,\N
2015-01-12,60952,Working,0,Big Brother,\N,\N,\N
2015-01-12,60877,Working,0,Big Brother,\N,\N,\N
2015-01-12,72062,Working,0,Big Brother,\N,\N,\N
2015-01-12,72891,Working,0,Big Brother,\N,\N,\N
2015-01-12,72187,Working,0,Big Brother,\N,\N,\N
2015-01-12,77584,Working,0,Big Brother,\N,\N,\N
2015-01-12,54660,Working,0,Big Brother,\N,\N,\N
2015-01-12,21031,Working,0,Big Brother,\N,\N,\N
2015-01-12,75802,Working,0,Big Brother,\N,\N,\N
2015-01-12,76749,Working,0,Big Brother,\N,\N,\N
2015-01-12,55502,Working,0,Big Brother,\N,\N,\N
2015-01-13,56035,Working,0,Big Brother,\N,\N,\N
2015-01-13,55863,Working,0,Big Brother,\N,\N,\N
2015-01-13,61454,Working,0,Big Brother,\N,\N,\N
2015-01-13,61904,Working,0,Big Brother,\N,\N,\N
2015-01-13,73343,Working,0,Big Brother,\N,\N,\N
2015-01-13,73858,Working,0,Big Brother,\N,\N,\N
2015-01-13,61949,Working,0,Big Brother,\N,\N,\N
2015-01-13,73957,Working,0,Big Brother,\N,\N,\N
2015-01-13,74565,Working,0,Big Brother,\N,\N,\N
2015-01-13,74839,Working,0,Big Brother,\N,\N,\N
2015-01-13,75027,Working,0,Big Brother,\N,\N,\N
2015-01-13,75028,Working,0,Big Brother,\N,\N,\N
2015-01-13,75026,Working,0,Big Brother,\N,\N,\N
